Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,10149326,6620454,0.652305,0.201320
623.xalancbmk_s-202B,13801697,12445654,0.901748,0.739290
649.fotonik3d_s-1176B,16180960,15516957,0.958964,1.053780
654.roms_s-1390B,16757351,14994810,0.894820,0.583463
