Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
s2_nextline,602.gcc_s-2226B,671478,8226480,0.081624,2832737,21,2832758,0.191619,0.201320
s2_nextline,623.xalancbmk_s-202B,380197,7106822,0.053497,877203,0,877203,0.302368,0.739290
s2_nextline,649.fotonik3d_s-1176B,311541,7235548,0.043057,349371,654,350025,0.470914,1.053780
s2_nextline,654.roms_s-1390B,570931,9064892,0.062983,677959,498452,1176411,0.326743,0.583463
