Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,14190737,10586158,0.745991,0.358193
623.xalancbmk_s-202B,12841302,11575463,0.901424,1.221270
649.fotonik3d_s-1176B,13481504,12817099,0.950717,1.672390
654.roms_s-1390B,13869434,12092812,0.871904,0.740126
