Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,14073016,10530319,0.748263,0.365160
623.xalancbmk_s-202B,12830409,11565914,0.901445,1.232240
649.fotonik3d_s-1176B,12514939,11851455,0.946985,1.460500
654.roms_s-1390B,13794606,12020174,0.871368,0.759331
