Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
s7_cplxstride_confcnt_pd3_avalanche,602.gcc_s-2226B,2331078,13110406,0.177804,1172522,771,1173293,0.665192,0.365160
s7_cplxstride_confcnt_pd3_avalanche,623.xalancbmk_s-202B,1108570,5446419,0.203541,148910,0,148910,0.881581,1.232240
s7_cplxstride_confcnt_pd3_avalanche,649.fotonik3d_s-1176B,453160,3817436,0.118708,207752,763,208515,0.684868,1.460500
s7_cplxstride_confcnt_pd3_avalanche,654.roms_s-1390B,841928,4232500,0.198920,399941,498468,898409,0.483773,0.759331
