Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,9946646,6401342,0.643568,0.210323
623.xalancbmk_s-202B,9394380,8133778,0.865813,1.163180
649.fotonik3d_s-1176B,11083688,10421196,0.940228,1.055570
654.roms_s-1390B,12065362,10307412,0.854298,0.580983
