Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
compute_cspt_index,602.gcc_s-2226B,1525397,4761962,0.320330,1978240,672,1978912,0.435292,0.210323
compute_cspt_index,623.xalancbmk_s-202B,918052,2098097,0.437564,339427,0,339427,0.730073,1.163180
compute_cspt_index,649.fotonik3d_s-1176B,385292,1559772,0.247018,275620,763,276383,0.582298,1.055570
compute_cspt_index,654.roms_s-1390B,565713,1570981,0.360102,681205,498468,1179673,0.324119,0.580983
