Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
s4_PD5,602.gcc_s-2226B,2102730,15312129,0.137324,1400703,1163,1401866,0.599992,0.423575
s4_PD5,623.xalancbmk_s-202B,1054830,5852191,0.180245,202686,0,202686,0.838820,1.122280
s4_PD5,649.fotonik3d_s-1176B,549025,4541812,0.120882,111887,763,112650,0.829750,1.698260
s4_PD5,654.roms_s-1390B,943925,5474829,0.172412,307755,498469,806224,0.539340,0.764133
