Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,12265351,8717512,0.710743,0.423575
623.xalancbmk_s-202B,13422332,12156807,0.905715,1.122280
649.fotonik3d_s-1176B,13711598,13047250,0.951548,1.698260
654.roms_s-1390B,15291424,13491854,0.882315,0.764133
