Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
baseline,602.gcc_s-2226B,0,0,0.000000,3503147,1361,3504508,0.000000,0.108044
baseline,623.xalancbmk_s-202B,0,0,0.000000,1257479,0,1257479,0.000000,0.488158
baseline,649.fotonik3d_s-1176B,0,0,0.000000,660913,763,661676,0.000000,0.607421
baseline,654.roms_s-1390B,0,0,0.000000,1261778,498465,1760243,0.000000,0.345583
