Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,10050761,6500160,0.646733,0.211298
623.xalancbmk_s-202B,9399764,8138756,0.865847,1.166110
649.fotonik3d_s-1176B,11100745,10438195,0.940315,1.050860
654.roms_s-1390B,12077856,10319710,0.854432,0.579137
