Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC
s3_stride_2048,602.gcc_s-2226B,750335,3167893,0.236856,2752915,1222,2754137,0.214108,0.187308
s3_stride_2048,623.xalancbmk_s-202B,906575,1767881,0.512803,350904,0,350904,0.720946,1.140060
s3_stride_2048,649.fotonik3d_s-1176B,284383,1002664,0.283627,376529,763,377292,0.429793,0.893720
s3_stride_2048,654.roms_s-1390B,554250,1482277,0.373918,693028,498464,1191492,0.317487,0.571082
