Application,L1D_TOTAL_ACCESS,L1D_TOTAL_HIT,L1D_hit_ratio,IPC
602.gcc_s-2226B,8901064,5392582,0.605836,0.187308
623.xalancbmk_s-202B,9157932,7898025,0.862425,1.140060
649.fotonik3d_s-1176B,10627862,9965691,0.937695,0.893720
654.roms_s-1390B,12025941,10268209,0.853838,0.571082
